params,mean_test_score,rank_test_score
"{'bagging_temperature': np.float64(0.7370355567910089), 'depth': 14, 'iterations': 3705, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.0978922191729749), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.518499506989758,41
"{'bagging_temperature': np.float64(0.6521232455304379), 'depth': 12, 'iterations': 3040, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.13069707019704727), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 1}",-1.5189803790841208,42
"{'bagging_temperature': np.float64(0.49542362640396564), 'depth': 10, 'iterations': 1922, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.19862230601708872), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.5195750268528807,43
"{'bagging_temperature': np.float64(0.8262056957939659), 'depth': 8, 'iterations': 2796, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.18231885750541876), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 5}",-1.5207079700058137,44
"{'bagging_temperature': np.float64(0.800749771486121), 'depth': 10, 'iterations': 2823, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.13427182376767427), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 5}",-1.5207328393456108,45
"{'bagging_temperature': np.float64(0.3664615348713979), 'depth': 10, 'iterations': 3190, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.031256291329386066), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.5223792036882209,46
"{'bagging_temperature': np.float64(0.5427244433475962), 'depth': 14, 'iterations': 3116, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.017229158911889315), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.523925514202112,47
"{'bagging_temperature': np.float64(0.15467214088323622), 'depth': 12, 'iterations': 1153, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.013762189220971307), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.524685301694292,48
"{'bagging_temperature': np.float64(0.11586905952512971), 'depth': 10, 'iterations': 1200, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.03843694025082197), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.526722395187263,49
"{'bagging_temperature': np.float64(0.2713490317738959), 'depth': 8, 'iterations': 1791, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.18022959559673618), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.5296101945195155,50
"{'bagging_temperature': np.float64(0.5133261686923929), 'depth': 9, 'iterations': 3386, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.030685805769477312), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.5300237645165242,51
"{'bagging_temperature': np.float64(0.44842414298624733), 'depth': 12, 'iterations': 1160, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.02035486279401268), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.5301649466350251,52
"{'bagging_temperature': np.float64(0.6201325978015367), 'depth': 11, 'iterations': 2145, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.040113036044259115), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.530556774850633,53
"{'bagging_temperature': np.float64(0.3270331615632387), 'depth': 9, 'iterations': 1018, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.14883900479708337), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 5}",-1.5310980845924116,54
"{'bagging_temperature': np.float64(0.09617655109142076), 'depth': 12, 'iterations': 3976, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.031853289294255745), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.5313111120213412,55
"{'bagging_temperature': np.float64(0.5365906459873325), 'depth': 11, 'iterations': 1725, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.09743719708602026), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.531715111431954,56
