,params
134,"{'bagging_temperature': np.float64(0.7546352918601166), 'depth': 9, 'iterations': 3853, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.03931615090347338), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 10}"
135,"{'bagging_temperature': np.float64(0.14991742734877378), 'depth': 7, 'iterations': 3891, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.010372335673402526), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 10}"
131,"{'bagging_temperature': np.float64(0.4315281431364426), 'depth': 6, 'iterations': 3438, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.027272330445402056), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 1}"
130,"{'bagging_temperature': np.float64(0.8995745732745685), 'depth': 10, 'iterations': 2997, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.15112886007682247), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}"
128,"{'bagging_temperature': np.float64(0.907866130462516), 'depth': 12, 'iterations': 2772, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.03240282359187159), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 2}"
127,"{'bagging_temperature': np.float64(0.7952673118598902), 'depth': 6, 'iterations': 1724, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.1147588386919694), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}"
246,"{'bagging_temperature': np.float64(0.951811785423239), 'depth': 5, 'iterations': 2208, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.03905082311636744), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
213,"{'bagging_temperature': np.float64(0.2131047040250833), 'depth': 4, 'iterations': 1792, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.030162256396297812), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 10}"
209,"{'bagging_temperature': np.float64(0.2736266662816659), 'depth': 7, 'iterations': 3000, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.03866055268196658), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}"
208,"{'bagging_temperature': np.float64(0.06562614457401295), 'depth': 4, 'iterations': 3926, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.021306958378245196), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}"
17,"{'bagging_temperature': np.float64(0.8957635956735194), 'depth': 4, 'iterations': 1563, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.15162513677579237), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 1}"
11,"{'bagging_temperature': np.float64(0.8021969807540397), 'depth': 4, 'iterations': 3568, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.03264019163413773), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}"
287,"{'bagging_temperature': np.float64(0.2797035384714792), 'depth': 13, 'iterations': 1310, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.15709289200436904), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
294,"{'bagging_temperature': np.float64(0.07996539435930194), 'depth': 7, 'iterations': 2681, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.010009965955879937), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}"
116,"{'bagging_temperature': np.float64(0.16068137325955567), 'depth': 14, 'iterations': 3397, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.146797519273357), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}"
120,"{'bagging_temperature': np.float64(0.3236792364042437), 'depth': 6, 'iterations': 1723, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.09075690355770646), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 2}"
234,"{'bagging_temperature': np.float64(0.6061887135611715), 'depth': 5, 'iterations': 3979, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.07115194841797175), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
239,"{'bagging_temperature': np.float64(0.7734731256866006), 'depth': 11, 'iterations': 1300, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.038939807931813994), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 5}"
242,"{'bagging_temperature': np.float64(0.35673205304000166), 'depth': 8, 'iterations': 3352, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.08274234335763195), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
244,"{'bagging_temperature': np.float64(0.03934354066850965), 'depth': 10, 'iterations': 2058, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.017147427632838257), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 1}"
245,"{'bagging_temperature': np.float64(0.5072348086883924), 'depth': 13, 'iterations': 1275, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.04210760089867614), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
109,"{'bagging_temperature': np.float64(0.7474709381337565), 'depth': 14, 'iterations': 2335, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.08474014613903201), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
101,"{'bagging_temperature': np.float64(0.6334008543167258), 'depth': 14, 'iterations': 2906, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.039685223216800174), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
96,"{'bagging_temperature': np.float64(0.5609379715353863), 'depth': 14, 'iterations': 2848, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.014940248877174581), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}"
89,"{'bagging_temperature': np.float64(0.16483426113700095), 'depth': 11, 'iterations': 2824, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.11338463241114453), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 5}"
94,"{'bagging_temperature': np.float64(0.8782206674791923), 'depth': 11, 'iterations': 2823, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.029240206777451604), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}"
261,"{'bagging_temperature': np.float64(0.7154909070992744), 'depth': 14, 'iterations': 2004, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.017976826704233558), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 5}"
106,"{'bagging_temperature': np.float64(0.4811453940562932), 'depth': 9, 'iterations': 3286, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.1369468330690348), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 1}"
102,"{'bagging_temperature': np.float64(0.6976675736969318), 'depth': 7, 'iterations': 1359, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.0281658916395005), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 5}"
113,"{'bagging_temperature': np.float64(0.08692028808742369), 'depth': 9, 'iterations': 3081, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.05795623890856001), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 1}"
82,"{'bagging_temperature': np.float64(0.8911431136980711), 'depth': 9, 'iterations': 1202, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.021337709450156346), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 1}"
250,"{'bagging_temperature': np.float64(0.24414729042237426), 'depth': 13, 'iterations': 1302, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.09996932172285408), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 1}"
257,"{'bagging_temperature': np.float64(0.23754413087432746), 'depth': 4, 'iterations': 3338, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.012451741393826606), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 2}"
