params,mean_test_score,rank_test_score
"{'alpha': np.float64(0.6122957899322777), 'colsample_bytree': np.float64(0.7087798904514524), 'learning_rate': np.float64(0.04863735201235063), 'max_depth': 14, 'min_child_samples': 89, 'n_estimators': 1629, 'num_leaves': 82, 'objective': 'poisson', 'reg_alpha': np.float64(0.8530896234036505), 'reg_lambda': np.float64(0.046500586440065494), 'subsample': np.float64(0.8478797760797663), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.5495942779734455)}",-1.5319017476422687,24
"{'alpha': np.float64(0.5901269080404317), 'colsample_bytree': np.float64(0.8467134431410165), 'learning_rate': np.float64(0.04628935302761287), 'max_depth': 12, 'min_child_samples': 110, 'n_estimators': 1849, 'num_leaves': 82, 'objective': 'poisson', 'reg_alpha': np.float64(0.584448909757426), 'reg_lambda': np.float64(0.5383319432557134), 'subsample': np.float64(0.7075414057528774), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3947591359332632)}",-1.5331343318340562,25
"{'alpha': np.float64(0.6620227096554403), 'colsample_bytree': np.float64(0.9827199261937145), 'learning_rate': np.float64(0.022387567318747612), 'max_depth': 13, 'min_child_samples': 118, 'n_estimators': 1569, 'num_leaves': 114, 'objective': 'tweedie', 'reg_alpha': np.float64(0.8589566854206295), 'reg_lambda': np.float64(0.18602300000566563), 'subsample': np.float64(0.8208277458613511), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.4326380005499602)}",-1.5336602638202932,26
"{'alpha': np.float64(0.725280920631688), 'colsample_bytree': np.float64(0.9178062177962995), 'learning_rate': np.float64(0.04158251192972971), 'max_depth': 6, 'min_child_samples': 32, 'n_estimators': 2281, 'num_leaves': 120, 'objective': 'tweedie', 'reg_alpha': np.float64(0.8634007668570018), 'reg_lambda': np.float64(0.4013060242197122), 'subsample': np.float64(0.7170060364282967), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.2218636715716285)}",-1.5337459516299303,27
"{'alpha': np.float64(0.7645479669996742), 'colsample_bytree': np.float64(0.9794333419405735), 'learning_rate': np.float64(0.010654086624527763), 'max_depth': 10, 'min_child_samples': 47, 'n_estimators': 2006, 'num_leaves': 58, 'objective': 'regression', 'reg_alpha': np.float64(0.7053855941122036), 'reg_lambda': np.float64(0.44636864651258557), 'subsample': np.float64(0.9456864710696675), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.5465121996750903)}",-1.533973656679936,28
"{'alpha': np.float64(0.7529327574811571), 'colsample_bytree': np.float64(0.9788362668434076), 'learning_rate': np.float64(0.022111465490700425), 'max_depth': 7, 'min_child_samples': 34, 'n_estimators': 1617, 'num_leaves': 105, 'objective': 'tweedie', 'reg_alpha': np.float64(0.3843550385241349), 'reg_lambda': np.float64(0.02519341395922936), 'subsample': np.float64(0.9355989310872043), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.109134386763259)}",-1.5351590971304254,29
"{'alpha': np.float64(0.6882093663307784), 'colsample_bytree': np.float64(0.9730913933416053), 'learning_rate': np.float64(0.06694915543328578), 'max_depth': 9, 'min_child_samples': 138, 'n_estimators': 1065, 'num_leaves': 42, 'objective': 'regression', 'reg_alpha': np.float64(0.48037008186635466), 'reg_lambda': np.float64(0.9852860506655043), 'subsample': np.float64(0.7506955879751763), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.6996626399808576)}",-1.535221764678312,30
"{'alpha': np.float64(0.9210357473994264), 'colsample_bytree': np.float64(0.9141362604455774), 'learning_rate': np.float64(0.03709742713360459), 'max_depth': 7, 'min_child_samples': 131, 'n_estimators': 2607, 'num_leaves': 108, 'objective': 'regression', 'reg_alpha': np.float64(0.005061583846218687), 'reg_lambda': np.float64(0.16080805141749865), 'subsample': np.float64(0.8194935157466344), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.6535161581541549)}",-1.5357578837383752,31
"{'alpha': np.float64(0.9135169401377995), 'colsample_bytree': np.float64(0.7008964080693446), 'learning_rate': np.float64(0.04800673849012656), 'max_depth': 9, 'min_child_samples': 145, 'n_estimators': 1977, 'num_leaves': 55, 'objective': 'tweedie', 'reg_alpha': np.float64(0.053858206998026126), 'reg_lambda': np.float64(0.32005983252098347), 'subsample': np.float64(0.9012749343653611), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3154650386416202)}",-1.5358559931451468,32
"{'alpha': np.float64(0.680383137543638), 'colsample_bytree': np.float64(0.784802321457653), 'learning_rate': np.float64(0.0853913822353163), 'max_depth': 14, 'min_child_samples': 160, 'n_estimators': 1034, 'num_leaves': 120, 'objective': 'tweedie', 'reg_alpha': np.float64(0.5929629052588216), 'reg_lambda': np.float64(0.10221266422519959), 'subsample': np.float64(0.9675002089042986), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.7320677096992694)}",-1.5367181007850783,33
