,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_loss_function,param_one_hot_max_size,param_random_strength,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
195,117.5576647758484,7.02775931856489,0.07061686515808105,0.005245580154186961,0.8887480798689772,12,3785,10,0.11303285447367498,RMSE,2,5,"{'bagging_temperature': np.float64(0.8887480798689772), 'depth': 12, 'iterations': 3785, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.11303285447367498), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 5}",-1.4500176407247591,-1.51334377199293,-1.5211953045931792,-1.515974271718774,-1.5683829241370735,-1.513782782633343,0.03770174959178484,34
196,20.5459557056427,1.0207943470844956,0.02444286346435547,0.0038119919643466137,0.08698675991141014,11,1974,6,0.021774463545602488,RMSE,50,2,"{'bagging_temperature': np.float64(0.08698675991141014), 'depth': 11, 'iterations': 1974, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.021774463545602488), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.4543310839651147,-1.494164566792955,-1.5192261984163669,-1.5120737870224041,-1.541381248722933,-1.5042353769839547,0.02918164102997413,23
197,13.474027729034423,1.1381618222681198,0.022335577011108398,0.0023427785796108513,0.5326025194007621,8,2711,5,0.19495714260995103,MAE,50,1,"{'bagging_temperature': np.float64(0.5326025194007621), 'depth': 8, 'iterations': 2711, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.19495714260995103), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.5017301513615473,-1.5479193261135433,-1.580810504430053,-1.568377338741813,-1.601345803405698,-1.560036624810531,0.03392357172617983,87
198,16.30952682495117,0.5759929026699243,0.0274904727935791,0.008063744148724293,0.480586577326648,6,3745,3,0.028347202899404473,MAE,50,5,"{'bagging_temperature': np.float64(0.480586577326648), 'depth': 6, 'iterations': 3745, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.028347202899404473), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.601940153359784,-1.630989815466635,-1.6665251569656825,-1.635223679647523,-1.7311379096602926,-1.6531633430199832,0.04403608320390124,170
199,9.04951057434082,0.47820133051648,0.02629432678222656,0.017130533849845565,0.8644928803073485,4,2285,8,0.10901221734627874,RMSE,20,5,"{'bagging_temperature': np.float64(0.8644928803073485), 'depth': 4, 'iterations': 2285, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.10901221734627874), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 5}",-1.5771022785568236,-1.6061638577740447,-1.6468870194098593,-1.6417489486424415,-1.7074434044776983,-1.6358691017721736,0.04385154261342073,163
200,0.06570773124694824,0.005845360977793466,0.0,0.0,0.1604001053300721,14,3604,9,0.1622091859146914,Huber,20,2,"{'bagging_temperature': np.float64(0.1604001053300721), 'depth': 14, 'iterations': 3604, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.1622091859146914), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}",,,,,,,,215
201,0.05757331848144531,0.0027635964382569855,0.0,0.0,0.1892215397850059,8,1556,10,0.040326491916560264,Huber,20,2,"{'bagging_temperature': np.float64(0.1892215397850059), 'depth': 8, 'iterations': 1556, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.040326491916560264), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}",,,,,,,,215
202,137.42839441299438,6.541534456281879,0.04061965942382813,0.00425439352915235,0.1288698674734452,14,2574,2,0.11593101383177391,MAE,2,1,"{'bagging_temperature': np.float64(0.1288698674734452), 'depth': 14, 'iterations': 2574, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.11593101383177391), 'loss_function': 'MAE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.5243019591841775,-1.6245530981263694,-1.6083352562806386,-1.5813225837197362,-1.6334128596674182,-1.594385151395668,0.03926870752656362,132
203,6.1392909526824955,0.819274198821759,0.01735382080078125,0.0011807496593210071,0.258688330697908,5,2247,11,0.18903953874244048,RMSE,50,5,"{'bagging_temperature': np.float64(0.258688330697908), 'depth': 5, 'iterations': 2247, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.18903953874244048), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.4850988606948285,-1.5274877167599923,-1.5551940241182012,-1.5541255328520123,-1.592111598352355,-1.542803546555478,0.035432755163930706,65
204,0.06284217834472657,0.021528763584711428,0.0,0.0,0.37669536198679876,11,3412,3,0.014693174456735115,Huber,10,5,"{'bagging_temperature': np.float64(0.37669536198679876), 'depth': 11, 'iterations': 3412, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.014693174456735115), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 5}",,,,,,,,215
205,8.581859683990478,0.6996703704504563,0.02083897590637207,0.0032469758708160512,0.5412665786761103,5,2435,5,0.013594656260270276,MAE,50,5,"{'bagging_temperature': np.float64(0.5412665786761103), 'depth': 5, 'iterations': 2435, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.013594656260270276), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.7430928622671595,-1.7777823566084903,-1.8084179969088836,-1.7836733135581229,-1.8961641586657134,-1.8018261376016738,0.05157584877465302,212
206,31.798004627227783,3.4442684943158417,0.029833316802978516,0.0037547065082224954,0.16637758693227234,9,3448,10,0.041317480806317364,MAE,10,10,"{'bagging_temperature': np.float64(0.16637758693227234), 'depth': 9, 'iterations': 3448, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.041317480806317364), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.5325691874488891,-1.5769270586208624,-1.5817578912504657,-1.571706074154421,-1.6474920810054128,-1.5820904584960103,0.03705222058225971,118
