params,mean_test_score,rank_test_score
"{'colsample_bytree': np.float64(0.9702549320101344), 'learning_rate': np.float64(0.020451261569662146), 'max_depth': 8, 'min_child_weight': 68, 'n_estimators': 2672, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.48785119719240644), 'reg_lambda': np.float64(0.1300477825111387), 'subsample': np.float64(0.9341920945529311), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.3963175890202453)}",-1.4961093830530563,25
"{'colsample_bytree': np.float64(0.789158853124362), 'learning_rate': np.float64(0.1419781267112647), 'max_depth': 10, 'min_child_weight': 96, 'n_estimators': 2761, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.0029210326213620075), 'reg_lambda': np.float64(0.03976596498856955), 'subsample': np.float64(0.8416286708284877), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.8259041317702778)}",-1.496133805506642,26
"{'colsample_bytree': np.float64(0.6574169448157571), 'learning_rate': np.float64(0.12223562419824595), 'max_depth': 10, 'min_child_weight': 94, 'n_estimators': 628, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.6726021182251263), 'reg_lambda': np.float64(0.44375021930457115), 'subsample': np.float64(0.9472569017510022), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.2417198315579088)}",-1.496444990287054,27
"{'colsample_bytree': np.float64(0.952903422437939), 'learning_rate': np.float64(0.048981736464099535), 'max_depth': 15, 'min_child_weight': 21, 'n_estimators': 2992, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.8237903842212947), 'reg_lambda': np.float64(0.9550605114849889), 'subsample': np.float64(0.9284793130200906), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1012520841531783)}",-1.4964893075720735,28
"{'colsample_bytree': np.float64(0.6298519257348326), 'learning_rate': np.float64(0.07163198104272457), 'max_depth': 16, 'min_child_weight': 124, 'n_estimators': 2810, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.5094221281497897), 'reg_lambda': np.float64(0.9966968538529768), 'subsample': np.float64(0.9255881078024075), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.5921755505848088)}",-1.4965175270587516,29
"{'colsample_bytree': np.float64(0.9387674912354239), 'learning_rate': np.float64(0.02148371070801327), 'max_depth': 7, 'min_child_weight': 11, 'n_estimators': 2569, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.6690223373291083), 'reg_lambda': np.float64(0.4622955610006072), 'subsample': np.float64(0.7647062166338034), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.6207787737207635)}",-1.4966447071149722,30
"{'colsample_bytree': np.float64(0.9409055497564726), 'learning_rate': np.float64(0.04846168338896331), 'max_depth': 16, 'min_child_weight': 95, 'n_estimators': 2155, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.6261761715931382), 'reg_lambda': np.float64(0.5313165205680591), 'subsample': np.float64(0.9352608734207698), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.3282322706858531)}",-1.49716482310041,31
"{'colsample_bytree': np.float64(0.6177506654132947), 'learning_rate': np.float64(0.09073256438738908), 'max_depth': 12, 'min_child_weight': 18, 'n_estimators': 1986, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.5508573706091393), 'reg_lambda': np.float64(0.08698675991141014), 'subsample': np.float64(0.7633812852282795), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.3981508136098513)}",-1.497180148867356,32
"{'colsample_bytree': np.float64(0.7672972145162475), 'learning_rate': np.float64(0.11932270002414289), 'max_depth': 15, 'min_child_weight': 14, 'n_estimators': 1515, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.7776022837352256), 'reg_lambda': np.float64(0.48037008186635466), 'subsample': np.float64(0.9941144202662018), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4013911759503528)}",-1.4971969401943177,33
"{'colsample_bytree': np.float64(0.8912755024814414), 'learning_rate': np.float64(0.026969367361323698), 'max_depth': 13, 'min_child_weight': 113, 'n_estimators': 2589, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.2464020332391068), 'reg_lambda': np.float64(0.8191023176741997), 'subsample': np.float64(0.9197663515875917), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.6557571766835415)}",-1.4979074349049353,34
