,disk_ID,disk_capacity,disk_if_local,disk_attr,disk_type,disk_if_VIP,disk_pay,vm_cpu,vm_mem,avg_rbw,avg_wbw,peak_rbw,peak_wbw,timestamp_num,burst_label,RBW_mul,WBW_mul,cluster_index,pre_burst_label,belong_to_cluster
42,c7f20896-8335-4467-be39-bf0f254bfbc2,100,0,cbsPremium,0,1,prepay,16.0,32.0,68.39600682396484,53.13817083044182,269.0,4542.0,69168,1,3.9329781443577914,85.47527942753304,1,0,0
43,eff4487d-2832-4181-a366-8536021ebe06,100,0,cbsPremium,0,1,prepay,32.0,64.0,89.1017741935484,71.36615591397849,380.0,3625.0,37200,1,4.264786009474486,50.794385007501454,1,0,0
44,f692994e-1e38-44e3-99c6-33148345cd24,100,0,cbsPremium,0,1,prepay,16.0,32.0,67.43312312831145,52.87335867311679,238.0,4449.0,69456,1,3.529422766718585,84.1444559538086,1,0,0
45,254c8a8d-2c73-4f39-9b1f-88681b7ee9cf,100,0,cbsPremium,0,1,prepay,32.0,64.0,78.46425872492443,56.18829005221215,232.0,1488.0,58224,0,2.956760234151099,26.48238625196278,1,0,0
46,d14b69ac-67a1-4c57-a476-79c7216371ed,100,0,cbsPremium,0,1,prepay,8.0,32.0,43.55313445452928,35.42533146467343,149.0,724.0,89904,0,3.4211085348073,20.43735287902617,1,0,0
47,8de5c1d0-5b67-4100-ab94-6010275bf04f,50,0,cbsPremium,0,1,prepay,8.0,32.0,33.229090389016015,17.34170480549199,220.0,1699.0,104880,1,6.620704853020043,97.97191331857634,1,0,0
48,088241b0-643a-423a-9e14-7c4dfe351b29,100,0,cbsPremium,0,1,postpay,8.0,32.0,23.712637924897667,80.28584935041822,5945.0,5057.0,89904,1,250.71019170574445,62.98743852018124,1,0,0
49,79610dc4-cfe5-459c-9d8f-fb1ba40996b9,50,0,cbsPremium,0,1,prepay,16.0,32.0,72.2087528604119,40.45818077803204,348.0,7382.0,104880,1,4.819360343651487,182.46000828609365,1,0,0
50,a80ef1c8-2da7-43a1-b2dd-53cc7d822da3,100,0,cbsPremium,0,0,prepay,4.0,16.0,26.09229041916168,35.263997005988024,53.0,145.0,40080,0,2.0312513446913734,4.111842454370053,1,0,0
51,be053860-3fa0-46b4-b6ba-fce329805d13,100,0,cbsPremium,0,0,prepay,4.0,16.0,26.13809880239521,35.22981536926148,140.0,333.0,40080,0,5.356166148823757,9.452220981281306,1,0,0
52,ebebab6c-1356-407f-a015-13169917413c,100,0,cbsPremium,0,1,prepay,32.0,64.0,87.29042715484363,65.08892067124333,196.0,588.0,104880,0,2.245377945651675,9.033795520591292,1,0,0
53,088a8408-adcc-43af-8294-ccfc4f250481,100,0,cbsPremium,0,1,prepay,32.0,64.0,90.9178946767192,67.46404500799635,425.0,3669.0,70032,1,4.674547310088859,54.38452437242864,1,0,0
54,a70274d5-93c3-4115-ae16-958e1a894eec,100,0,cbsPremium,0,1,prepay,32.0,64.0,128.69918954996186,86.96174675819985,883.0,3464.0,104880,1,6.860960065775812,39.83360648943462,1,0,0
55,d77b2a7c-23de-431b-83e2-05ea19237493,100,0,cbsPremium,0,1,prepay,32.0,64.0,126.052765064836,88.23249427917621,987.0,3492.0,104880,1,7.830054338691663,39.57725584579953,1,0,0
56,1a76e9c3-760e-4243-a304-9ea8e2526b9c,100,0,cbsPremium,0,1,prepay,32.0,64.0,127.74045575896264,86.19593821510297,987.0,3672.0,104880,1,7.7266046542248175,42.60061524983325,1,0,0
57,0f13d43e-64ef-4374-b06e-9602fa9d2e36,100,0,cbsPremium,0,1,prepay,16.0,32.0,76.0153991741225,57.11089125946318,742.0,3269.0,69744,1,9.761180077478231,57.23951995685818,1,0,0
58,cb6b8827-6316-4341-b549-7c23c6d54382,100,0,cbsPremium,0,1,prepay,16.0,32.0,66.8299068933611,52.06423490631506,223.0,3049.0,69168,1,3.3368294281157063,58.56227418853659,1,0,0
59,579ee5bf-8612-4b55-bc38-e206b754b69b,100,0,cbsPremium,0,1,prepay,32.0,128.0,56.472602937774695,49.01740689336109,574.0,3022.0,69168,1,10.16422070419654,61.65156811690296,1,0,0
60,a9bfcd9a-de27-4b38-8c00-83e925e1885f,100,0,cbsPremium,0,1,prepay,32.0,64.0,52.885911332874514,42.36629674237211,266.0,3093.0,69744,1,5.0296949281207,73.00614492714384,1,0,0
