iter	Passed	Remaining
737	12169	58900
738	12193	58921
739	12197	58844
740	12233	58922
741	12257	58943
742	12279	58953
743	12302	58965
744	12306	58890
745	12331	58914
746	12354	58928
747	12379	58952
748	12402	58967
749	12430	59004
750	12451	59005
751	12455	58931
752	12478	58943
753	12487	58892
754	12516	58935
755	12539	58949
756	12544	58875
757	12564	58879
758	12572	58820
759	12578	58756
760	12591	58721
761	12623	58775
762	12649	58806
763	12671	58812
764	12676	58742
765	12698	58750
766	12724	58779
767	12746	58784
768	12750	58710
769	12777	58745
770	12804	58774
771	12823	58768
772	12828	58700
773	12849	58701
774	12875	58729
775	12900	58750
776	12922	58759
777	12927	58689
778	12952	58712
779	12966	58681
780	12997	58730
781	13022	58751
782	13027	58684
783	13052	58700
784	13062	58654
785	13089	58688
786	13114	58708
787	13137	58718
788	13164	58747
789	13192	58780
790	13217	58802
791	13220	58726
792	13226	58661
793	13252	58683
794	13272	58684
795	13277	58615
796	13300	58626
797	13323	58637
798	13345	58642
799	13366	58647
800	13393	58674
801	13398	58606
802	13404	58541
803	13422	58530
804	13450	58562
805	13473	58575
806	13494	58575
807	13500	58512
808	13507	58453
809	13511	58384
810	13536	58402
811	13554	58392
812	13574	58387
813	13585	58349
814	13607	58355
815	13629	58361
816	13650	58361
817	13670	58356
818	13690	58356
819	13710	58354
820	13728	58341
821	13754	58363
822	13775	58367
823	13795	58363
824	13816	58364
825	13834	58354
826	13856	58357
827	13876	58354
828	13912	58418
829	13932	58415
830	13935	58342
831	13944	58290
832	13966	58298
833	13986	58293
834	13992	58231
835	13995	58160
836	14020	58175
837	14040	58174
838	14046	58111
839	14064	58101
840	14090	58119
841	14112	58127
842	14131	58117
843	14151	58115
844	14179	58144
845	14208	58177
846	14234	58200
847	14263	58231
848	14289	58251
849	14311	58257
850	14334	58262
851	14356	58266
852	14366	58222
853	14377	58183
854	14402	58200
855	14408	58137
856	14434	58161
857	14458	58169
858	14479	58172
859	14504	58185
860	14525	58185
861	14548	58195
862	14576	58220
863	14601	58237
864	14605	58170
865	14614	58121
866	14647	58168
867	14679	58209
868	14683	58143
869	14719	58200
870	14743	58212
871	14768	58225
872	14794	58245
873	14823	58275
874	14846	58284
875	14874	58310
876	14895	58306
877	14922	58329
878	14944	58332
879	14976	58375
880	15008	58414
881	15031	58420
882	15061	58456
883	15084	58460
884	15110	58477
885	15130	58474
886	15160	58506
887	15182	58508
888	15212	58538
889	15234	58542
890	15255	58538
891	15277	58539
892	15298	58540
893	15324	58555
894	15345	58553
895	15367	58553
896	15389	58555
897	15413	58565
898	15433	58557
899	15453	58549
900	15476	58557
901	15499	58560
902	15518	58552
903	15540	58553
904	15563	58557
905	15583	58551
906	15605	58550
907	15626	58547
908	15645	58536
909	15665	58531
910	15685	58524
911	15705	58516
912	15725	58508
913	15746	58507
914	15766	58498
915	15786	58494
916	15805	58481
917	15824	58471
918	15846	58472
919	15876	58499
920	15896	58494
921	15915	58484
922	15935	58476
923	15959	58482
924	15978	58473
925	16000	58474
926	16020	58465
927	16041	58460
928	16065	58469
929	16087	58467
930	16108	58466
931	16131	58469
932	16151	58461
933	16173	58459
934	16194	58456
935	16214	58446
936	16234	58440
937	16253	58428
938	16276	58432
939	16299	58436
940	16319	58428
941	16339	58418
942	16358	58406
943	16378	58401
944	16404	58412
945	16428	58420
946	16448	58412
947	16468	58404
948	16488	58394
949	16510	58396
950	16533	58397
951	16552	58386
952	16571	58374
953	16590	58363
954	16611	58356
955	16631	58348
956	16651	58340
957	16671	58334
958	16691	58323
959	16709	58310
960	16728	58298
961	16748	58289
962	16768	58281
963	16787	58269
964	16806	58257
965	16824	58240
966	16842	58225
967	16862	58218
968	16882	58208
969	16900	58194
970	16918	58178
971	16938	58167
972	16956	58152
973	16976	58147
974	16995	58133
975	17012	58115
976	17032	58105
977	17051	58092
978	17070	58080
979	17091	58076
980	17111	58066
981	17131	58058
982	17149	58043
983	17171	58040
984	17189	58026
985	17208	58012
986	17228	58002
987	17258	58030
988	17283	58038
989	17303	58027
990	17323	58017
991	17344	58013
992	17365	58008
993	17386	58000
994	17408	57998
995	17427	57985
996	17448	57981
997	17469	57974
998	17490	57969
999	17512	57967
1000	17538	57976
1001	17579	58036
1002	17604	58043
1003	17628	58048
1004	17649	58042
1005	17674	58046
1006	17695	58041
1007	17716	58036
1008	17730	58005
1009	17759	58025
1010	17781	58024
1011	17805	58024
1012	17827	58021
1013	17847	58013
1014	17883	58055
1015	17909	58063
1016	17936	58077
1017	17962	58086
1018	17982	58078
1019	18003	58070
1020	18026	58070
1021	18048	58065
1022	18068	58056
1023	18090	58052
1024	18110	58041
1025	18131	58035
1026	18156	58041
1027	18178	58036
1028	18197	58023
1029	18217	58013
1030	18236	57998
1031	18255	57986
1032	18280	57991
1033	18300	57981
1034	18318	57965
1035	18339	57958
1036	18362	57956
1037	18382	57944
1038	18405	57944
1039	18424	57932
1040	18443	57918
1041	18463	57905
1042	18487	57909
1043	18511	57909
1044	18531	57900
1045	18557	57907
1046	18579	57902
1047	18603	57904
1048	18627	57905
1049	18647	57896
1050	18669	57891
1051	18694	57896
1052	18717	57893
1053	18739	57888
1054	18760	57883
1055	18781	57875
1056	18802	57865
1057	18822	57854
1058	18845	57851
1059	18867	57848
1060	18890	57845
1061	18911	57840
1062	18934	57837
1063	18957	57833
1064	18983	57841
1065	19008	57844
1066	19031	57843
1067	19051	57831
1068	19077	57840
1069	19108	57862
1070	19135	57870
1071	19163	57883
1072	19190	57892
1073	19216	57900
1074	19241	57902
1075	19271	57922
1076	19297	57928
1077	19321	57929
1078	19349	57939
1079	19375	57946
1080	19400	57949
1081	19424	57949
1082	19453	57966
1083	19477	57964
1084	19502	57967
1085	19525	57964
1086	19545	57952
1087	19569	57952
1088	19592	57948
1089	19614	57942
1090	19618	57884
1091	19640	57877
1092	19644	57818
1093	19670	57824
1094	19673	57764
1095	19696	57759
1096	19720	57760
1097	19724	57701
1098	19748	57700
1099	19752	57641
1100	19779	57649
1101	19800	57640
1102	19820	57627
1103	19840	57615
1104	19857	57596
1105	19861	57538
1106	19865	57479
1107	19886	57469
1108	19907	57460
1109	19910	57400
1110	19929	57386
1111	19933	57327
1112	19953	57316
1113	19973	57302
1114	19994	57294
1115	20015	57283
1116	20033	57267
1117	20060	57275
1118	20084	57273
1119	20106	57268
1120	20129	57262
1121	20163	57291
1122	20188	57294
1123	20214	57297
1124	20234	57286
1125	20255	57277
1126	20281	57282
1127	20302	57272
1128	20323	57262
1129	20344	57251
1130	20365	57243
1131	20388	57237
1132	20408	57227
1133	20431	57222
1134	20452	57213
1135	20471	57197
1136	20491	57186
1137	20513	57179
1138	20532	57163
1139	20554	57155
1140	20576	57149
1141	20600	57146
1142	20619	57132
1143	20667	57196
1144	20687	57184
1145	20708	57173
1146	20728	57161
1147	20732	57105
1148	20757	57105
1149	20776	57089
1150	20798	57082
1151	20818	57069
1152	20839	57060
1153	20859	57047
1154	20880	57036
1155	20900	57024
1156	20921	57014
1157	20942	57002
1158	20962	56989
1159	20981	56975
1160	21002	56965
1161	21022	56953
1162	21042	56940
1163	21062	56926
1164	21066	56870
1165	21085	56855
1166	21106	56843
1167	21125	56827
1168	21136	56791
1169	21140	56734
1170	21162	56729
1171	21181	56712
1172	21201	56700
1173	21221	56686
1174	21242	56677
1175	21264	56668
1176	21267	56611
1177	21285	56593
1178	21290	56538
1179	21308	56522
1180	21327	56505
1181	21346	56490
1182	21365	56475
1183	21382	56455
1184	21401	56437
1185	21405	56382
1186	21426	56371
1187	21446	56360
1188	21468	56352
1189	21489	56341
1190	21508	56327
1191	21513	56273
1192	21534	56263
1193	21557	56257
1194	21579	56250
1195	21598	56235
1196	21602	56180
1197	21624	56172
1198	21645	56161
1199	21649	56108
1200	21653	56055
1201	21677	56052
1202	21699	56044
1203	21722	56037
1204	21726	55984
1205	21747	55973
1206	21751	55920
1207	21772	55909
1208	21793	55898
1209	21815	55889
1210	21820	55839
1211	21824	55786
1212	21846	55776
1213	21866	55764
1214	21885	55750
1215	21908	55743
1216	21929	55733
1217	21949	55720
1218	21968	55706
1219	21989	55694
1220	22009	55681
1221	22029	55669
1222	22049	55656
1223	22069	55643
1224	22092	55636
1225	22113	55627
1226	22132	55610
1227	22154	55602
1228	22175	55592
1229	22195	55579
1230	22215	55566
1231	22236	55555
1232	22242	55507
1233	22265	55501
1234	22286	55491
1235	22307	55479
1236	22330	55474
1237	22349	55459
1238	22369	55446
1239	22389	55432
1240	22410	55420
1241	22430	55408
1242	22435	55358
1243	22458	55351
1244	22479	55340
1245	22484	55291
1246	22507	55284
1247	22512	55234
1248	22532	55222
1249	22552	55207
1250	22557	55159
1251	22579	55149
1252	22584	55100
1253	22589	55051
1254	22595	55002
1255	22617	54993
1256	22622	54946
1257	22644	54938
1258	22664	54924
1259	22682	54907
1260	22704	54897
1261	22722	54878
1262	22739	54859
1263	22757	54840
1264	22775	54822
1265	22780	54773
1266	22785	54723
1267	22804	54710
1268	22827	54702
1269	22831	54652
1270	22836	54601
1271	22857	54591
1272	22879	54582
1273	22897	54565
1274	22917	54552
1275	22939	54543
1276	22959	54532
1277	22963	54480
1278	22982	54464
1279	23000	54445
1280	23004	54395
1281	23024	54381
1282	23044	54368
1283	23064	54355
1284	23083	54341
1285	23103	54326
1286	23125	54320
1287	23130	54269
1288	23134	54218
1289	23139	54170
1290	23160	54160
1291	23164	54110
1292	23185	54098
1293	23203	54082
1294	23224	54069
1295	23228	54021
1296	23250	54012
1297	23254	53963
1298	23274	53949
1299	23293	53932
1300	23311	53915
1301	23331	53901
1302	23350	53887
1303	23367	53866
1304	23389	53858
1305	23393	53808
1306	23413	53796
1307	23433	53783
1308	23438	53734
1309	23442	53684
1310	23446	53635
1311	23466	53622
1312	23470	53573
1313	23491	53562
1314	23512	53550
1315	23530	53532
1316	23549	53519
1317	23553	53469
1318	23577	53463
1319	23595	53446
1320	23599	53398
1321	23603	53349
1322	23607	53300
1323	23628	53289
1324	23647	53274
1325	23667	53259
1326	23684	53242
1327	23688	53193
1328	23706	53175
1329	23711	53127
1330	23729	53110
1331	23748	53094
1332	23752	53046
1333	23773	53036
1334	23792	53021
1335	23809	53001
1336	23828	52985
1337	23846	52968
1338	23865	52954
1339	23883	52935
1340	23900	52917
1341	23918	52898
1342	23935	52878
1343	23952	52859
1344	23971	52844
1345	23989	52826
1346	24007	52808
1347	24024	52789
1348	24040	52768
1349	24060	52754
1350	24082	52746
1351	24103	52734
1352	24122	52720
1353	24141	52704
1354	24160	52689
1355	24179	52673
1356	24198	52658
1357	24219	52648
1358	24248	52655
1359	24267	52639
1360	24287	52625
1361	24303	52604
1362	24324	52593
1363	24342	52575
1364	24360	52557
1365	24381	52546
1366	24401	52534
1367	24423	52523
1368	24442	52510
1369	24463	52498
1370	24483	52484
1371	24503	52472
1372	24526	52465
1373	24548	52455
1374	24567	52440
1375	24588	52429
1376	24606	52412
1377	24625	52395
1378	24644	52380
1379	24665	52369
1380	24685	52356
1381	24704	52340
1382	24722	52323
1383	24740	52306
1384	24759	52290
1385	24779	52276
1386	24799	52262
1387	24817	52246
1388	24837	52231
1389	24855	52215
1390	24875	52200
1391	24893	52183
1392	24920	52185
1393	24945	52182
1394	24969	52176
1395	24989	52162
1396	25009	52148
1397	25029	52136
1398	25047	52118
1399	25067	52103
1400	25086	52088
1401	25105	52072
1402	25124	52058
1403	25149	52053
1404	25167	52035
1405	25185	52019
1406	25204	52003
1407	25224	51990
1408	25244	51975
1409	25263	51959
1410	25282	51945
1411	25301	51929
1412	25319	51911
1413	25339	51897
1414	25358	51882
1415	25378	51868
1416	25396	51850
1417	25414	51833
1418	25436	51822
1419	25454	51805
1420	25472	51787
1421	25488	51765
1422	25511	51757
1423	25530	51742
1424	25550	51727
1425	25568	51710
1426	25586	51692
1427	25605	51677
1428	25626	51664
1429	25647	51654
1430	25669	51643
1431	25688	51628
1432	25709	51615
1433	25728	51599
1434	25748	51587
1435	25768	51571
1436	25787	51557
1437	25807	51542
1438	25826	51527
1439	25845	51512
1440	25864	51496
1441	25884	51482
1442	25903	51465
1443	25922	51450
1444	25959	51470
1445	25991	51479
1446	26012	51466
1447	26032	51453
1448	26055	51444
1449	26076	51433
1450	26098	51423
1451	26120	51412
1452	26139	51396
1453	26158	51382
1454	26179	51369
1455	26199	51354
1456	26217	51337
1457	26236	51320
1458	26255	51305
1459	26276	51292
1460	26295	51276
1461	26315	51262
1462	26335	51249
1463	26355	51234
1464	26376	51222
1465	26396	51208
1466	26415	51193
1467	26435	51177
1468	26458	51170
1469	26478	51156
1470	26498	51140
1471	26516	51124
1472	26536	51109
1473	26555	51093
1474	26575	51079
1475	26594	51063
1476	26613	51046
1477	26631	51029
1478	26651	51014
1479	26670	50998
1480	26691	50985
1481	26711	50972
1482	26731	50956
1483	26748	50937
1484	26767	50920
1485	26785	50903
1486	26807	50892
1487	26825	50874
1488	26844	50858
1489	26863	50842
1490	26887	50836
1491	26908	50823
1492	26929	50811
1493	26950	50799
1494	26960	50765
1495	26980	50750
1496	26999	50734
1497	27019	50719
1498	27031	50690
1499	27053	50680
1500	27070	50660
1501	27091	50648
1502	27101	50615
1503	27123	50603
1504	27144	50590
1505	27153	50555
1506	27174	50544
1507	27183	50509
1508	27205	50499
1509	27214	50464
1510	27237	50454
1511	27258	50443
1512	27279	50429
1513	27300	50416
1514	27323	50408
1515	27343	50395
1516	27352	50358
1517	27360	50322
1518	27382	50311
1519	27390	50276
1520	27400	50243
1521	27421	50230
1522	27442	50217
1523	27463	50205
1524	27483	50192
1525	27503	50175
1526	27524	50163
1527	27543	50147
1528	27565	50136
1529	27584	50120
1530	27607	50112
1531	27630	50102
1532	27651	50089
1533	27670	50073
1534	27693	50064
1535	27703	50031
1536	27724	50019
1537	27745	50006
1538	27764	49991
1539	27785	49978
1540	27805	49962
1541	27847	49988
1542	27867	49973
1543	27877	49940
1544	27899	49929
1545	27918	49913
1546	27938	49899
1547	27958	49884
1548	27978	49869
1549	28006	49868
1550	28025	49853
1551	28044	49836
1552	28049	49794
1553	28057	49760
1554	28078	49745
1555	28098	49731
1556	28117	49716
