,disk_capacity,vm_cpu,vm_memory,recent_history_bandwidth_memory,disk_if_VIP,ins_type,disk_type,volume_type,business_type
5194,300,32.0,64.0,,1,CVM,root,cbsPremium,dev-test-env
10898,50,4.0,16.0,10095.216765873016,1,CVM,root,cbsBSSD,office-system
23445,500,16.0,64.0,,1,CVM,data,cbsPremium,generic-autoscaling
13581,500,8.0,32.0,,1,CVM,data,cbsPremium,office-system
21712,500,32.0,64.0,5220.673115079365,1,CVM,data,cbsPremium,infra-node
2308,500,32.0,64.0,,1,CVM,data,cbsPremium,data-collection-delivery
5512,90,2.0,8.0,957.0525793650794,0,CVM,data,cbsPremium,infra-message-queue
19049,500,8.0,16.0,,1,CVM,data,cbsssd,infra-node
13631,100,4.0,8.0,451.30257936507934,1,CVM,data,cbsPremium,game-service
16203,200,4.0,8.0,,1,CVM,root,cbsPremium,media-video-streaming
17265,300,32.0,64.0,8632.520833333334,1,CVM,data,cbsPremium,media-video-streaming
7486,50,4.0,4.0,0.0059523809523809,0,CVM,data,cbsPremium,generic-unknown
21549,50,16.0,32.0,73191.78472222222,1,CVM,root,cbsPremium,infra-node
7747,50,16.0,64.0,3523.494047619048,1,CVM,data,cbsssd,infra-logging-monitoring
13526,100,8.0,32.0,,1,CVM,data,cbsssd,infra-node
18174,200,16.0,64.0,,1,CVM,data,cbsPremium,dev-test-env
10356,80,2.0,8.0,30077.51488095238,1,CVM,root,cbsPremium,office-system
15598,100,8.0,16.0,,1,CVM,data,cbsHSSD,data-collection-delivery
3396,100,16.0,32.0,5239.119543650793,1,CVM,data,cbsPremium,infra-node
15196,100,8.0,16.0,6595.832341269841,1,CVM,data,cbsPremium,generic-unknown
5678,500,16.0,64.0,,1,CVM,data,cbsPremium,infra-node
20780,50,8.0,64.0,,1,CVM,root,cbsPremium,dev-test-env
13024,50,4.0,8.0,6160.082341269841,1,CVM,root,cbsBSSD,education-learning
21866,500,32.0,128.0,,1,CVM,data,cbsHSSD,ai-machine-learning
474,50,4.0,16.0,1630.8983134920634,0,CVM,data,cbsHSSD,infra-database
4688,200,8.0,32.0,2888.0684523809523,1,CVM,data,cbsPremium,media-video-streaming
8184,20,4.0,12.0,2532.371527777778,0,CVM,root,cbsssd,infra-database
19032,200,8.0,32.0,6106.872023809524,1,CVM,data,cbsHSSD,media-video-streaming
3422,60,2.0,8.0,681.8422619047619,0,CVM,data,cbsPremium,infra-message-queue
22975,50,16.0,64.0,17298.478174603173,1,CVM,root,cbsPremium,compute-simulation
17477,200,4.0,16.0,,1,CVM,data,cbsssd,infra-database
15820,50,16.0,32.0,8049.986607142857,1,CVM,root,cbsPremium,infra-node
7568,50,32.0,64.0,,1,CVM,root,cbsPremium,education-learning
16242,50,16.0,32.0,11530.409722222224,1,CVM,root,cbsPremium,generic-autoscaling
10865,50,16.0,128.0,7771.25496031746,1,CVM,root,cbsPremium,compute-simulation
898,50,16.0,32.0,3314.3943452380954,1,CVM,data,cbsssd,infra-logging-monitoring
18565,50,32.0,64.0,5771.690972222223,1,CVM,root,cbsPremium,infra-node
17139,300,2.0,2.0,834.2078373015873,0,CVM,data,cbsPremium,generic-unknown
18936,100,4.0,8.0,,0,CVM,data,cbsPremium,game-service
14886,50,32.0,128.0,,0,CVM,root,cbsPremium,data-collection-delivery
18424,50,4.0,16.0,,1,CVM,root,cbsPremium,iot-saas-platform
13219,50,16.0,64.0,1661.3244047619048,1,CVM,root,cbsPremium,data-collection-delivery
19684,50,16.0,64.0,8294.767361111111,0,CVM,root,cbsPremium,infra-database
15503,50,48.0,96.0,42254.97371031746,1,CVM,root,cbsPremium,infra-node
3381,40,32.0,128.0,288.50644841269843,1,CVM,data,cbsPremium,infra-node
19882,100,32.0,64.0,130014.87648809524,0,CVM,root,cbsPremium,dev-test-env
16447,500,16.0,64.0,24040.205853174604,0,CVM,data,cbsHSSD,infra-node
20181,100,2.0,4.0,19995.32986111111,1,CVM,root,cbsPremium,generic-unknown
23140,150,8.0,16.0,16507.087797619046,0,CVM,data,cbsPremium,office-system
2508,90,2.0,8.0,25529.006944444445,0,CVM,data,cbsPremium,infra-message-queue
3735,300,8.0,16.0,,1,CVM,data,cbsPremium,infra-jumpbox
18786,50,16.0,32.0,1587.1617063492065,1,CVM,root,cbsPremium,infra-logging-monitoring
21645,50,4.0,16.0,4724.415674603175,0,CVM,root,cbsPremium,generic-autoscaling
23679,100,32.0,128.0,6.049603174603175,1,CVM,root,cbsssd,infra-node
18181,100,32.0,128.0,,0,CVM,data,cbsHSSD,infra-database
11072,50,16.0,128.0,,1,CVM,root,cbsPremium,ai-machine-learning
10266,80,4.0,8.0,7473.132440476191,1,CVM,root,cbsBSSD,infra-coordination
8919,50,8.0,16.0,4256.289186507936,1,CVM,root,cbsssd,infra-node
18569,200,4.0,8.0,17501.58630952381,1,CVM,root,cbsPremium,community-social-forum
13804,500,2.0,4.0,0.4300595238095238,0,CVM,data,cbsPremium,generic-unknown
7799,50,8.0,16.0,6638.854166666667,1,CVM,root,cbsPremium,generic-unknown
22107,100,8.0,16.0,13966.10267857143,1,CVM,root,cbsssd,infra-database
16739,200,4.0,8.0,,1,CVM,root,cbsPremium,media-video-streaming
13580,500,16.0,64.0,,1,CVM,data,cbsPremium,infra-node
22280,1000,2.0,4.0,0.083829365079365,0,CVM,data,cbsPremium,generic-unknown
7969,10,32.0,128.0,,1,CVM,data,cbsPremium,infra-node
10872,50,8.0,16.0,17714.425595238095,0,CVM,root,cbsPremium,generic-unknown
