business_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
generic-autoscaling,0.04154673910908858,0.04285293730870551,0.037376708670701295,0.04311436451990278,0.03659333664434122,0.03636382666824322,0.037476981350818075,0.03742118532659405,0.039234123244253925,0.04048064536851478,0.04290079420302772,0.043459824345090575,0.04159662067666918,0.043384463383041694,0.04416979208359027,0.046150844073036046,0.04605945831486622,0.04498073278469115,0.04345876728986169,0.043022357821550866,0.04496716554118263,0.04321500990138387,0.04044748242008326,0.03972583895076137
generic-unknown,0.046043951187978466,0.03774408711219715,0.03604344925992102,0.040327501349842095,0.05085769949641424,0.03512331734596109,0.03339346672941263,0.03283588235410213,0.03529144472839093,0.03777082959223116,0.04431136575661372,0.05164481720799979,0.048921837862975846,0.04327993006196118,0.04415431762996965,0.04600921704124547,0.044792232111907644,0.04428873968350603,0.042590809539262316,0.04317112114670633,0.04096392617219896,0.04254154054764164,0.039794643294766466,0.03810387278679405
gov-public-service,0.03775408089654746,0.0372367621538504,0.03855665467102069,0.04068448283213894,0.03822887552515588,0.038242308593038135,0.03822047117443223,0.03743249797597663,0.043386518773289216,0.047001555692065336,0.05583878215058008,0.044712250134017105,0.039610389615637245,0.03956740107313402,0.04505160446227618,0.04615297451239788,0.050679531419768074,0.04620894064670816,0.04048208212828914,0.03910888915747799,0.03873767813627183,0.03889993459559542,0.04079448546057653,0.037410848219755474
infra-cache,0.04031507835416313,0.040579067987522394,0.04583776532995022,0.03919691862366867,0.04392050298470568,0.045188716694353946,0.0403723970487967,0.039349829923822084,0.04001520244917066,0.04094424954180916,0.04180975368866758,0.04183528932726877,0.042694844616217184,0.041167862463831625,0.04197732045052593,0.042144691374037015,0.04782824817849577,0.04187961952375464,0.04095764739284857,0.04125868308109618,0.04040544419146094,0.03998021800206613,0.04028811907706006,0.040052529694707
infra-cloud-function,0.04247141653205125,0.04115861402683256,0.04159418231862179,0.04350649060249001,0.04272188978993571,0.04085030789192727,0.04253097662622352,0.041305467131446796,0.04067605682704159,0.04125346672912443,0.04146657993604291,0.04128585984424411,0.04130731134572414,0.04310411042505379,0.04125327484224475,0.041302270360211835,0.04304399349494376,0.040923953907575514,0.040996667427297774,0.040895463052244604,0.04307418389912994,0.04105514960724299,0.040679346654796125,0.041542966727552755
infra-coordination,0.04187107035004025,0.044709191112990036,0.04118754519525024,0.04318993556125585,0.041962147237985754,0.040262700473493,0.04062324767070015,0.04042210145752986,0.040645712985251,0.041308539444992395,0.041071522743260584,0.04150312087757786,0.04065596746738586,0.04046652576209628,0.046947474285639154,0.04041731278569071,0.04098239920202396,0.045738541082056154,0.04071274318594117,0.04140320321068939,0.04035826551729772,0.04210311136406326,0.04074465591683319,0.040712965109956166
infra-database,0.05431522098108567,0.03815628082733788,0.038015975752105996,0.039336559162270426,0.03652096407238668,0.0482567617536753,0.035233497335004596,0.036404977567337855,0.0443166198516785,0.04285034074222497,0.051211835836003985,0.04251301003114402,0.04237334153644404,0.039256184489864836,0.04195503303272062,0.04180264003341772,0.049245113377411796,0.048961507186934,0.03759457937186347,0.03794743518197526,0.03711257206562125,0.0383808465921221,0.037749211183495696,0.04048949203587333
infra-jumpbox,0.04974294305682617,0.04039050982265492,0.06915641783810185,0.05582263301537029,0.054180631405321984,0.052552792673163456,0.03902891849007265,0.03458426556801881,0.0354098058102286,0.044178947693322146,0.03642143764369464,0.03807541572752945,0.0360094738930594,0.035329246918956135,0.03613079897040946,0.044868699504139437,0.037942825117024105,0.04071156249541793,0.038976493882838505,0.035595521481340084,0.03546727309428518,0.0387275438803959,0.03458741142054095,0.03610843059728796
infra-logging-monitoring,0.05512127512519922,0.037374384066489824,0.038787529258982205,0.04258722208929269,0.036094053917039744,0.046839680292692636,0.035376119800239775,0.03790026589870575,0.040171143060950446,0.042922907161848385,0.038289127857093985,0.04569179904931926,0.04121051133753976,0.04095261000909866,0.04077720863499498,0.04750767160257736,0.04564321882232458,0.04415234623364633,0.04333438624601737,0.040019830439702905,0.04046713295307321,0.04051691723532983,0.03925549288256248,0.039007166025278615
infra-message-queue,0.03997185688768158,0.0365765718975767,0.034308453203952115,0.0336817866447588,0.03330426379769327,0.0342565081344452,0.0362742948543621,0.03724417444482531,0.04053829950789001,0.04196641420037615,0.04412679855129326,0.04448961855358229,0.043480280130933656,0.043141593852294435,0.04408099338624409,0.044435176923587526,0.04477374703332865,0.044657766262589174,0.04641289687573908,0.052290172615460935,0.05055409052403512,0.045413426641417794,0.04311255315637669,0.04090826191955608
