38 0 0 6 109
38 0 0 6 110
38 0 0 7 85
38 0 1 5 101
38 0 2 4 63
38 0 2 4 64
38 0 2 4 65
38 0 2 4 66
38 1 1 5 100
38 1 2 8 86
39 0 0 6 110
39 0 0 7 85
39 0 0 7 86
39 0 0 7 110
39 0 0 7 111
39 0 0 7 112
39 0 1 5 101
39 0 1 5 102
39 0 1 5 103
39 0 1 5 104
39 0 2 4 66
39 0 2 4 67
39 0 2 4 68
39 0 2 4 69
39 0 2 4 70
39 0 2 4 71
39 0 2 4 72
39 0 2 4 73
39 0 2 4 74
39 0 2 4 75
39 0 2 4 76
39 1 1 5 100
39 1 1 5 101
39 1 1 5 102
39 1 1 6 102
39 1 1 6 103
39 1 1 6 104
39 1 1 6 105
39 1 2 8 86
39 1 2 8 87
40 0 0 7 86
40 0 0 7 87
40 0 0 7 112
40 0 1 5 104
40 0 1 7 87
40 0 1 7 88
40 0 1 7 89
40 0 1 7 90
40 0 2 4 76
40 0 2 4 77
40 0 3 4 77
40 1 1 6 105
40 1 1 6 106
40 1 1 6 107
40 1 1 6 108
40 1 1 6 109
40 1 1 6 110
40 1 1 6 111
40 1 2 8 87
41 0 0 7 112
41 0 0 7 113
41 0 1 5 104
41 0 1 7 90
41 0 1 7 91
41 0 1 7 92
41 0 1 7 93
41 0 3 4 77
41 0 3 4 78
41 0 3 4 79
41 0 3 4 80
41 1 1 6 111
41 1 1 6 112
41 1 1 6 113
41 1 1 6 114
41 1 1 6 115
41 1 1 6 116
41 1 1 6 117
41 1 1 6 118
41 1 1 6 119
41 1 1 6 120
41 1 1 6 121
41 1 1 7 121
41 1 2 8 87
42 0 0 7 113
42 0 0 7 114
42 0 0 7 115
42 0 1 5 104
42 0 1 7 93
42 0 3 4 80
42 0 4 4 80
42 0 4 4 81
42 0 4 4 82
42 0 4 4 83
42 1 1 7 121
42 1 2 8 87
42 1 2 8 88
42 1 2 8 89
42 1 2 8 90
42 1 2 8 91
42 1 2 8 92
42 1 2 8 93
43 0 0 7 115
43 0 0 7 116
43 0 0 7 117
43 0 0 7 118
43 0 1 5 104
43 0 1 7 93
43 0 1 7 94
43 0 1 7 95
43 0 1 7 96
43 0 4 4 83
43 0 4 4 84
43 0 4 4 85
43 0 4 4 86
43 0 4 4 87
43 0 4 4 88
43 1 1 7 121
43 1 1 7 122
43 1 1 7 123
43 1 1 7 124
43 1 1 7 125
43 1 2 8 93
44 0 0 7 118
44 0 0 7 119
44 0 1 5 104
44 0 1 5 105
44 0 1 7 96
44 0 4 4 88
44 0 4 4 89
44 0 4 4 90
44 1 1 7 125
44 1 1 7 126
44 1 2 8 93
44 1 2 8 94
44 1 2 8 95
44 1 2 8 96
44 1 2 8 97
44 1 2 8 98
45 0 0 7 119
45 0 0 7 120
45 0 0 7 121
45 0 0 7 122
45 0 0 7 123
45 0 0 7 124
45 0 0 7 125
45 0 1 5 105
45 0 1 5 106
45 0 1 7 96
45 0 4 4 90
45 0 4 4 91
45 1 1 7 126
45 1 2 8 98
45 1 2 8 99
46 0 0 7 125
46 0 1 5 106
46 0 1 5 107
46 0 1 6 107
46 0 1 6 108
46 0 1 7 96
46 0 1 7 97
46 0 1 7 98
46 0 1 7 99
46 0 1 7 100
46 0 1 7 101
46 0 1 7 102
46 0 1 7 103
46 0 1 7 104
46 0 1 7 105
46 0 1 7 106
46 0 1 7 107
46 0 1 7 108
46 0 1 7 109
46 0 1 7 110
46 0 1 7 111
46 0 1 7 112
46 0 2 7 107
46 0 2 7 108
46 0 2 7 109
46 0 2 7 110
46 0 2 7 111
46 0 2 7 112
46 0 4 4 91
46 1 1 7 126
46 1 1 7 127
46 1 1 7 128
46 1 1 7 129
46 1 1 7 130
46 1 1 7 131
46 1 2 7 131
46 1 2 7 132
46 1 2 7 133
46 1 2 7 134
46 1 2 7 135
46 1 2 7 136
46 1 2 7 137
46 1 2 7 138
46 1 2 7 139
46 1 2 7 140
46 1 2 8 99
46 1 2 8 100
46 1 2 8 101
46 1 2 8 102
46 1 2 8 103
46 1 2 8 104
46 1 2 8 105
47 0 0 7 125
47 0 0 7 126
47 0 0 8 126
47 0 0 8 127
47 0 0 8 128
47 0 0 8 129
47 0 1 7 112
47 0 1 7 113
47 0 1 7 114
47 0 1 7 115
47 0 1 7 116
47 0 1 7 117
47 0 1 7 118
47 0 1 7 119
47 0 2 7 112
47 0 2 7 113
47 0 4 4 91
47 0 4 5 91
47 0 4 5 92
47 0 4 5 93
47 0 4 5 94
47 0 4 6 94
47 1 2 7 140
47 1 2 8 105
47 1 2 8 106
48 0 0 8 129
48 0 0 8 130
48 0 0 8 131
48 0 0 8 132
48 0 0 8 133
48 0 0 8 134
48 0 1 7 119
48 0 1 7 120
48 0 1 7 121
48 0 1 7 122
48 0 1 7 123
48 0 1 7 124
48 0 1 7 125
48 0 1 8 125
48 0 2 7 113
48 0 2 7 114
48 0 2 7 115
48 0 2 7 116
48 0 2 7 117
48 0 2 7 118
48 0 2 7 119
48 0 4 6 94
48 1 2 7 140
48 1 2 7 141
48 1 2 8 106
48 1 2 8 107
48 1 2 8 108
48 1 2 8 109
48 1 2 8 110
49 0 0 8 134
49 0 0 8 135
49 0 1 8 125
49 0 1 8 126
49 0 1 8 127
